"nombre","ciudad_provincia","accion_erasmus","email","fuente_nombre","fuente_email","notas"
"Fundación de la Comunidad Valenciana Estudio y Cultura (ESYCU)","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","esycu@fundacionesycu.org","https://www.fundacionesycu.org/","https://www.fundacionesycu.org/",""
"Asociación El Cerezo de Villena","Villena, Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","incorpora@elcerezo.org","https://www.elcerezovillena.org/contacto/","https://www.elcerezovillena.org/contacto/",""
"PROACTIVA - Asociación para el Desarrollo Integral de Personas de Altas Capacidades y Talentos","Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://proactivacv.org/","N/A","Solo formulario"
"Xano Channel - Asociación para el Desarrollo Comunitario","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.facebook.com/Xano.Channel.Asociacion/","N/A","Web xano.es con error 500"
"Asociación Yellow vs Blue","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No localizada, posible error de transcripción en Injuve"
"Fundación de la Comunitat Valenciana Instituto de Ecología Litoral","El Campello, Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://ecologialitoral.com/","N/A","Solo teléfono"
"Fundación por la Justicia de la Comunidad Valenciana","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","admon@fundacionporlajusticia.org","http://www.fundacionporlajusticia.org","http://www.fundacionporlajusticia.org",""
"ALASAC - Asociación de Altas Capacidades y Talentos","Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","alasac@alasac.es","https://alasac.es/","https://alasac.es/",""
"Asociación para la Promoción del Talento y la Innovación Tecnológica y Social (INNOWA)","Comunidad Valenciana","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","resolución Injuve / EU Funding Portal","N/A",""
"Asociación Valencia Inno Hub","Valencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://valenciainnohub.com/contacto","N/A","Solo formulario"
"Asociación Fractals Educación Artística","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Federación Valenciana de Empresarios de la Construcción (FEVEC)","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Dominio no resuelve"
"AIJU - Asociación de Investigación de la Industria del Juguete, Conexas y Afines","Ibi, Alicante","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","comunicacion@aiju.es","https://www.aiju.es/","https://www.aiju.es/","Instituto tecnológico, sede también en Valencia"
"Asociación La Rotllana","Badalona, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","rotllana@rotllana.cat","https://rotllana.cat/en/","https://rotllana.cat/en/",""
"Asociación Cultural Impactarte","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://xeu.cat/associacio-cultural-impactarte/","N/A","Solo teléfono"
"Asociación de Arte Piluso","Barcelona (Poble Sec)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://espaipiluso.com/","N/A","Solo tel/WhatsApp"
"Fundació Montblanc per a la Promoció de la Dona","Barcelona (Sarrià-Sant Gervasi)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacio@fundaciomontblanc.org","https://www.fundaciomontblanc.org/","https://www.fundaciomontblanc.org/",""
"CAFAE - Cultural Asociación del Folklore Argentino en Europa","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@cafae.es","https://www.cafae.es/","https://www.cafae.es/",""
"Club Bàsquet Vilassar de Mar","Vilassar de Mar, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","vdmbasquet@gmail.com","vdmbasquet.cat","vdmbasquet.cat",""
"Federació Catalana de l'Esplai","El Prat de Llobregat, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","federacio@fundesplai.org","https://fundesplai.org/ca/contacte/","https://fundesplai.org/ca/contacte/",""
"Asociación Ucraniana Girasol","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","CIF no corresponde a provincia catalana, posible dato erróneo en fuente"
"Asociación Cultural y Educativa Symbiotic Roots","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Cultural Minusas al Vacío","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.alternativateatral.com/obra42566-minusas-al-vacio","N/A","Colectivo de teatro/improvisación"
"ONGD UGC Unión Global para el Cambio","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Instituto Ikigai - Asociación Española para el Emprendimiento y el Desarrollo Personal y Profesional","Zaragoza (no Cataluña, discrepancia con listado)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","institutoikigai.es","N/A",""
"Fundación José Miguel Catalán","Castelldefels, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacionjosemiguelcatalan23@gmail.com","https://xeu.cat/fundacio-jose-miguel-catalan/","https://xeu.cat/fundacio-jose-miguel-catalan/",""
"ONGD REMI - Raíces en Movimiento Internacional","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Posible web de artista individual, no verificado con confianza"
"Coordinació Catalana de Colònies Casals i Clubs d'Esplai","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","secretaria@coordinaciocatalana.org","https://www.coordinaciocatalana.org/contacte/","https://www.coordinaciocatalana.org/contacte/",""
"Asociación Word Machine Factory","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación para el Talento","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Fundació Catalana de l'Esplai","El Prat de Llobregat, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacio@fundesplai.org","fundesplai.org","fundesplai.org","Hermana de la Federació, mismo grupo Fundesplai, CIF distinto"
"ONG Voluntariado","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Nombre demasiado genérico"
"Fundació per a la Universitat Oberta de Catalunya","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","gerencia@uoc.edu","uoc.edu","uoc.edu",""
"Asociación Let Her In Internacional","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Fundació per la Pau (FundiPau)","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@fundipau.org","fundacioperlapau.org","fundipau.org",""
"Fundación Plant for the Planet España","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@planetspain.org","https://www.plant-for-the-planet.org/spain/","https://www.plant-for-the-planet.org/spain/",""
"Federació de Persones Sordes de Catalunya (FESOCA)","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fesoca@fesoca.org","http://www.fesoca.org","http://www.fesoca.org",""
"Fundació Support-Girona","Girona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","girona@supportgirona.cat","https://supportgirona.cat/qui-som/contacte/la-fundacio","https://supportgirona.cat/qui-som/contacte/la-fundacio",""
"Fundació Privada Gentis","Girona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@gentis.org","https://www.gentis.org/contacte-gentis/","https://www.gentis.org/contacte-gentis/",""
"Fundació Privada Resilis","Girona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.resilis.org/contacte/","N/A","Solo email de LOPD, no de contacto general"
"Associació Obre't'Ebre","Roquetes, Tarragona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","sveterresebre@hotmail.com","https://obretebre.wordpress.com/contacta/","https://obretebre.wordpress.com/contacta/","Email informal en Hotmail, verificar antes de usar"
"Associació de Xarxa Inca Catalunya","Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@inca-cat.org","https://inca-cat.org/en/contact/","https://inca-cat.org/en/contact/",""
"Col·lectiu La Vibria d'Iniciatives Culturals per la Tolerància i la Integració Social","Terrassa, Barcelona","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@vibria.org","https://vibria.org/que-fem/","https://vibria.org/que-fem/","Oficinas también en Igualada y Manresa"
"Taller d'Art, Cultura i Creació","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","Acreditada Erasmus+ OID E10037554, sin presencia web identificable"
"Teatre del Sí","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Building Bridges","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://yeseuropa.org/ong-madrid-building-bridges/","N/A","Solo redes sociales/WhatsApp"
"Asociación de Libre-pensadores de la Sierra (LPS)","Cercedilla, Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.asociate.es/comunidad-de-madrid/asociacion-de-libre-pensadores-de-la-sierra-de-madrid-lps/","N/A",""
"Asociación para el Desarrollo del Plan Comunitario de Carabanchel Alto","Madrid (Carabanchel)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://plancomunitariocarabanchel.net/","N/A","Solo teléfono"
"Asociación Otra Escuela","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Fundación También","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacion@tambien.org","https://tambien.org/contacto/","https://tambien.org/contacto/",""
"Fundación del Valle","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundaciondelvalle@fundaciondelvalle.org","https://www.fundaciondelvalle.org/contacto/","https://www.fundaciondelvalle.org/contacto/",""
"Asociación Socialty","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Club Deportivo La Paz","Parla, Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@cdlapaz.net","http://cdlapaz.net/contacto/","http://cdlapaz.net/contacto/",""
"Asociación Barro","Madrid (Puente de Vallecas)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","abarro@asociacionbarro.org","https://asociacionbarro.org.es/contacto/","https://asociacionbarro.org.es/contacto/",""
"Asociación Cultural Sol y Tierra","Valdepiélagos, Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","solytierra@solytierra.com","https://youth.europa.eu/volunteering/organisation/52313_en","https://youth.europa.eu/volunteering/organisation/52313_en",""
"Redes Sociedad Cooperativa MAD","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","redes@redes.coop","https://redes.coop/contacto/","https://redes.coop/contacto/",""
"Asociación Residui Teatro","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://youth.europa.eu/volunteering/organisation/52417_en","N/A","Email con dominio .it de baja confianza, web propia caída — no dar por bueno"
"Asociación Vana","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","El único 'Vana' localizado es un estudio de arquitectura, no coincide"
"Asociación Wonderers Collective","Madrid (equipo vinculado a Galicia)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","wonderers.collective@gmail.com","https://wonderers.eu/","https://wonderers.eu/","Confirmada beneficiaria Erasmus+ 2024 Madrid vía Injuve"
"Asociación Cultural Calatea","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@calatea.es","https://www.calatea.es/","https://www.calatea.es/","Opera también en Barcelona/Pamplona"
"Asociación de Fomento del Emprendimiento Social","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A",""
"Asociación Folqué? Madrid","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","folquemadrid@gmail.com","https://www.danza.es/danza.es/guia-danza/asociaciones/folque","https://www.danza.es/danza.es/guia-danza/asociaciones/folque",""
"Fundación Moncloa 2000","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@fundacionmoncloa2000.org","https://www.fundacionmoncloa.org/","https://www.fundacionmoncloa.org/",""
"Fundación Esfera","Leganés, Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@fundacionesfera.com","https://www.fundacionesfera.com/","https://www.fundacionesfera.com/",""
"Asociación Cultural TEN","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","resolución oficial Injuve 2025","N/A",""
"Asociación ItsTimeToThink","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","hola@itstimetothink.es","https://www.itstimetothink.org/contacto","https://www.itstimetothink.org/contacto",""
"Asociación Exmenas","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","contacto@exmenas.org","https://exmenas.org/contacto/","https://exmenas.org/contacto/",""
"Fundación Promoción Social de la Cultura","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","promocionsocial@promocionsocial.org","https://promocionsocial.org/en/contacto/","https://promocionsocial.org/en/contacto/",""
"Asociación DAN ZASS (Música, Danza y Teatro para personas con discapacidad)","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociacion.dan.zass@gmail.com","https://www.guiaongs.org/directorio/ongs/asociacion-dan-zass-danza-y-teatro-para-personas-con-discapacidad-5-1-2184/","https://www.guiaongs.org/directorio/ongs/asociacion-dan-zass-danza-y-teatro-para-personas-con-discapacidad-5-1-2184/",""
"Fundación Tech Don Bosco","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","techdonbosco@salesianos.es","https://www.techdonbosco.es/contacto/","https://www.techdonbosco.es/contacto/",""
"Fundación Prodis","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacionprodis@fundacionprodis.org","https://fundacionprodis.org/contacto/contacto-general/","https://fundacionprodis.org/contacto/contacto-general/",""
"Fundación Cibervoluntarios","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacion@cibervoluntarios.org","https://cibervoluntarios.org/","https://cibervoluntarios.org/",""
"Fundación de los Ferrocarriles Españoles, F.S.P.","Madrid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","palacio@ffe.es","https://ffe.es/fundacion/contacto.asp","https://ffe.es/fundacion/contacto.asp",""
"Asociación We Live","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","resolución Injuve 2025","N/A",""
"Club Deportivo Chañe","Chañe, Segovia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","clubdeportivochane@gmail.com","https://www.clubdeportivochane.com/contactanos","https://www.clubdeportivochane.com/contactanos",""
"Asociación Deses 3","Muga de Sayago, Zamora","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.cecapjoven.com/es/1/3656/","N/A","Dirigida por Jonás Martín; no confundir con ADES Zamora"
"Asociación Jóvenes Solidarios Arenas de San Pedro","Arenas de San Pedro, Ávila","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","ajovenes@ajovenes.es","https://ajovenes.es/landing-page/contactanos/","https://ajovenes.es/landing-page/contactanos/",""
"Asociación Auryn","León","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@asociacionauryn.org","https://www.asociacionauryn.org/contacto/","https://www.asociacionauryn.org/contacto/","Alt: centrojuvenilauryn@hotmail.com"
"Asociación Medinatura","Medina del Campo, Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","lavozdemedinadigital.com","N/A",""
"Asociación Brainstorming","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","listado Injuve organizaciones acreditadas","N/A","Confirmada beneficiaria KA152 2024"
"Asociación Cultural Teatro Lar","Sepúlveda, Segovia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://reacc.org/reacc/espacios-agentes/","N/A","Red REACC sugiere mediar vía hola@reacc.org"
"Asociación Cultural y Cívica Fuentevieja","Palencia (sin confirmar con certeza)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.facebook.com/lafuentevieja/","N/A","Cuidado con homónimas en Andalucía/Toledo"
"Alma Terra - Asociación de Municipios Ibéricos por la Defensa del Patrimonio","Monleras, Salamanca","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@recordare.com","https://alma-terra.es/","https://alma-terra.es/",""
"Asociación Gastronómica Europea","León","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","asociaciongastronomicaeuropea@gmail.com","https://asociaciongastrono2.wixsite.com/website/contacto","https://asociaciongastrono2.wixsite.com/website/contacto",""
"Asociación Juvenil Miróbriga Joven","Ciudad Rodrigo, Salamanca","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.instagram.com/mirobrigajoven/","N/A","Contacto principal vía Instagram"
"Fundación Caja de Burgos","Burgos","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacion@cajadeburgos.com","https://webvieja-fcdb.cajadeburgos.com/acercade/contactar.html","https://webvieja-fcdb.cajadeburgos.com/acercade/contactar.html",""
"Fundación Give Me Five","Zamora/Valladolid (proyectos)","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@fundaciongivemefive.org","https://www.fundaciongivemefive.org/","https://www.fundaciongivemefive.org/",""
"ACENVA - Asociación para la Conservación y Estudio de la Naturaleza de Valladolid","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","acenva@yahoo.es","https://www.paginasamarillas.es/f/valladolid/acenva_204024574_000000001.html","https://www.paginasamarillas.es/f/valladolid/acenva_204024574_000000001.html",""
"Federación de Centros Juveniles Don Bosco de Castilla y León","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","direccion@federboscocyl.org","https://www.federboscocyl.org/","https://www.federboscocyl.org/",""
"Federación Salud Mental Castilla y León","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@saludmentalcyl.org","https://nuevaweb.saludmentalcyl.org/contacto/","https://nuevaweb.saludmentalcyl.org/contacto/",""
"Plataforma Habitat","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No identificada de forma inequívoca"
"FUNAFOR - Fundación de Apoyo y Asesoramiento a la Formación","Camponaraya, León","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.paginasamarillas.es/f/camponaraya/fundacion-de-apoyo-y-asesoramiento-a-la-formacion-funafor_235063120_000000001.html","N/A",""
"Fundación Red Incola","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@redincola.org","https://becasredincola.org/contacto/","https://becasredincola.org/contacto/",""
"Fundación Santa María la Real del Patrimonio Histórico","Aguilar de Campoo, Palencia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","comunicacion@santamarialareal.org","https://santamarialareal.org/contacto/","https://santamarialareal.org/contacto/",""
"Asociación La Bien Pagá Espacio Escénico","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","salalabienpaga@gmail.com","https://www.valladolid.es/participa/en/asociaciones/registro-asociaciones/asociacion-bien-paga-espacio-escenico","https://www.valladolid.es/participa/en/asociaciones/registro-asociaciones/asociacion-bien-paga-espacio-escenico",""
"Fundación Eusebio Sacristán para el Desarrollo del Deporte","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@fundacioneusebiosacristan.es","https://fundacioneusebiosacristan.es/contacto/","https://fundacioneusebiosacristan.es/contacto/",""
"Acción Laboral","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.accionlaboral.com/en/node/187","N/A",""
"Fundación General de la Universidad de Burgos","Burgos","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","fundacion.ubu@ubu.es","https://fundacionubu.com/contacto","https://fundacionubu.com/contacto",""
"Entidad de Promoción y Recreación Deportiva Kin-Ball Valladolid","Valladolid","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://kinballvalladolid.wixsite.com/kinballvalladolid","N/A",""
"EPSJ Casa-Escuelas Santiago Uno","Salamanca","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","correo@casaescuelasantiagouno.es","https://casaescuelasantiagouno.es/contacto/","https://casaescuelasantiagouno.es/contacto/",""
"Brisa Intercultural","Burgos","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.aytoburgos.es/-/asociacion-brisa-intercultural","N/A",""
"Asociación Xeración","Ferrol, A Coruña","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://xeracion.org/nosotros/","N/A","Solo WhatsApp"
"Asociación Cultural InGalicia","A Coruña","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@ingalicia.org","https://www.ingalicia.org/ingalicia/mision/","https://www.ingalicia.org/ingalicia/mision/","Eurodesk local A Coruña"
"Asociación Cultural Sende","Lobeira, Ourense","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","sendeorg@gmail.com","https://pangea.gal/asociacion-cultural-sende","https://pangea.gal/asociacion-cultural-sende",""
"FOCO - Asociación para la Formación y Cooperación en Europa","A Guarda, Pontevedra","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@focoeuropa.com","https://youth.europa.eu/volunteering/organisation/E10277882_es","https://youth.europa.eu/volunteering/organisation/E10277882_es",""
"Asociación On My Way","Galicia","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","associationmyway@gmail.com","https://onmyway.blog/","https://onmyway.blog/",""
"Asociación de Innovación Socioeducativa","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No localizada web/registro con este nombre exacto"
"SomosTerra Sociedade Cooperativa Galega","Nigrán, Pontevedra","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","cooperativa@somosterra.gal","https://www.axesor.es/Informes-Empresas/n/10416858/SOMOSTERRA_SOCIEDADE_COOP_GALEGA_XUVENIL.html","https://www.axesor.es/Informes-Empresas/n/10416858/SOMOSTERRA_SOCIEDADE_COOP_GALEGA_XUVENIL.html",""
"Asociación Sociocultural BreGal","Orense","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@asociacionbregal.org","https://asociacionbregal.org/","https://asociacionbregal.org/",""
"Asociación Os Mixtos","Meaus, Baltar, Ourense","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.asociate.es/sin-categoria/espazo-aberto-galiza-pola-amizade-entre-os-povos/","N/A",""
"Asociación Xuvenil Motus Europa","A Coruña","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://motuseuropa.org/contacto/","N/A","Solo formulario"
"Asociación Sociocultural Ecolectivo","Vigo, Pontevedra","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","proxectoecolectivo@gmail.com","http://ecolectivovigo.org/contacto/","http://ecolectivovigo.org/contacto/",""
"Asociación Fogart","Santiago de Compostela","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.iberinform.es/empresa/8877109/asociacion-fogart","N/A",""
"Asociación Xuvenil Imaxina e Axuda","A Estrada, Pontevedra","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","imaxinaeaxuda@gmail.com","https://voluntariadogalego.org/es/entidades/9089","https://voluntariadogalego.org/es/entidades/9089",""
"Asociación para o Desenvolvemento Rural da Comarca de Lugo","Friol, Lugo","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","info@comarcadelugo.gal","https://comarcadelugo.gal/","https://comarcadelugo.gal/","GDR-4"
"AVADA Sociedade Cooperativa Galega","Fontorto, A Coruña","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","empresite.eleconomista.es","N/A",""
"Asociación Espazo Aberto Galiza pola Amizade entre os Povos","Santiago de Compostela","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","andurinhasdovento@gmail.com","https://espazoabertogaliza.org/contacto","https://espazoabertogaliza.org/contacto",""
"Club Nalu","Oleiros, A Coruña","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","https://www.iberinform.es/empresa/10692091/club-nalu","N/A",""
"ONGD Senvalos","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación Galega de Comunicación para o Cambio Social","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación Lar de Artemis","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación Deportiva Cultural de Investigación y Asesoramiento INNODXT","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Asociación Costa da Morte - GDR","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Sociedad Deportiva Club Ordenes","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"AMICOS - Asociación de Familias de Persoas con Discapacidade Psíquica das Comarcas do Barbanza e Noia","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Valdeorras Vive","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
"Ideasfab","no encontrado","Erasmus+ Juventud KA1/KA2 2025 (Injuve, Ronda 1)","no encontrado","N/A","N/A","No investigada, cupo de búsqueda agotado"
